Database Name	ODA
Database Link	http://localhost/ODA/OdaService.asmx
Evaluation GUID	d99c451c-32a2-43d1-acad-d5a8aef429a7
Plate Name	Feeder free HiPSCi 21.05.14
Measurement	Measurement1
Evaluation	Evaluation1
Population	Population - Clumped Nuclei Selected

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Compound	Concentration	Cell Type	Cell Count	Clumped Nuclei Selected - Number of Nuclei Selected- per Object 	Clumped Nuclei Selected - Intensity Nucleus DAPI Mean- Sum per Object 	Clumped Nuclei Selected - Intensity Nucleus Alexa 488 Mean- Sum per Object 	Clumped Nuclei Selected - Cell Area [µm²]- Sum per Object 	Clumped Nuclei Selected - Cell Roundness- Mean per Object 	Clumped Nuclei Selected - Cell Ratio Width to Length- Mean per Object 	
1	3	1	0	7	3	980	425	[966,405,1005,459]					2	5538	3040	1219	0.709778	0.366238	
1	3	1	0	7	4	610	613	[596,596,631,631]					2	5702	2968	852	0.843957	0.616681	
1	3	1	0	7	5	628	711	[615,693,640,744]					2	5545	2962	939	0.862312	0.650171	
1	3	1	0	7	6	541	734	[525,695,580,753]					4	7218	5888	2036	0.844023	0.530564	
1	3	1	0	7	7	653	809	[644,801,663,819]					1	4773	1504	255	0.938088	0.754893	
1	3	1	0	7	8	467	833	[459,825,477,841]					1	3559	3294	246	0.983692	0.855998	
1	3	1	0	8	1	567	63	[557,54,579,78]					1	2416	1600	382	0.92657	0.504785	
1	3	1	0	8	2	76	250	[26,234,104,278]					2	7252	5184	1729	0.824658	0.486731	
1	3	1	0	8	3	303	258	[293,239,312,268]					2	5354	3152	398	0.930585	0.661824	
1	3	1	0	8	4	687	334	[670,315,703,351]					1	2438	1538	821	0.806604	0.697486	
1	3	1	0	8	5	553	345	[533,325,572,402]					1	2581	1539	998	0.497842	0.221468	
1	3	1	0	8	6	624	412	[611,399,680,438]					2	4192	3365	1310	0.755159	0.477759	
1	3	1	0	8	7	652	506	[629,478,677,535]					1	2034	1961	1206	0.634588	0.425315	
1	3	1	0	8	8	1199	620	[1187,611,1209,630]					1	1618	1392	292	0.936032	0.632456	
1	3	1	0	9	1	878	220	[861,201,901,239]					1	4141	1991	981	0.869119	0.66195	
1	3	1	0	9	2	1059	714	[1041,648,1088,809]					2	5650	3034	2111	0.525428	0.201853	
1	3	1	0	9	3	995	728	[983,717,1007,743]					1	4226	1661	462	0.953512	0.796381	
1	3	1	0	9	4	514	883	[502,873,528,906]					1	2875	2274	460	0.671743	0.506677	
1	3	1	0	9	5	1333	981	[1320,970,1346,993]					1	1592	1479	389	0.859274	0.630271	
1	3	1	0	9	6	339	992	[332,984,347,999]					1	3992	1498	201	0.96101	0.862261	
1	4	1	0	1	1	1062	46	[1038,34,1079,59]					1	2515	1768	715	0.915189	0.539635	
1	4	1	0	1	2	1175	54	[1158,40,1187,75]					1	4122	1954	747	0.862242	0.584378	
1	4	1	0	1	3	1257	133	[1233,92,1287,195]					2	5283	3846	2707	0.676443	0.379786	
1	4	1	0	1	4	937	194	[916,99,956,255]					3	11230	5730	2560	0.702861	0.358159	
1	4	1	0	1	5	1113	190	[1106,185,1119,198]					1	2888	1517	131	0.924931	0.764375	
1	4	1	0	1	6	107	316	[70,226,172,531]					3	11026	5430	8249	0.581957	0.275493	
1	4	1	0	1	7	16	340	[9,331,26,348]					1	2993	1533	220	0.89737	0.62385	
1	4	1	0	1	8	1339	478	[1322,461,1350,493]					1	2283	1868	478	0.810692	0.444994	
1	4	1	0	1	9	717	572	[681,510,756,668]					4	18386	6627	4265	0.775516	0.457737	
1	4	1	0	1	10	200	613	[147,577,249,648]					1	5399	2514	2330	0.611366	0.265746	
1	4	1	0	1	11	522	776	[401,619,597,881]					8	29988	13097	13842	0.65289	0.35488	
1	4	1	0	1	12	1269	729	[1256,714,1289,755]					1	4208	1793	803	0.740034	0.45502	
1	4	1	0	1	13	1066	799	[1037,741,1106,837]					1	2618	2025	2951	0.629087	0.415595	
1	4	1	0	1	14	868	777	[849,752,883,808]					1	2034	1480	876	0.640538	0.331042	
1	4	1	0	1	15	1303	993	[1287,963,1331,1004]					1	1615	1525	712	0.610226	0.345114	
1	4	1	0	2	1	35	25	[9,6,61,45]					1	1226	1618	1020	0.722436	0.355101	
1	4	1	0	2	2	1216	33	[1149,14,1273,58]					1	2634	1431	2619	0.51663	0.266911	
1	4	1	0	2	3	894	159	[864,51,919,247]					5	18649	9368	5279	0.675658	0.367002	
1	4	1	0	2	4	917	413	[853,397,953,512]					4	14531	5555	2393	0.77481	0.434526	
1	4	1	0	2	5	716	437	[709,428,724,444]					1	5079	1377	187	0.969856	0.71586	
1	4	1	0	2	6	1081	467	[1046,440,1117,495]					1	7784	1548	2668	0.842822	0.695654	
1	4	1	0	2	7	548	457	[529,441,567,474]					1	2315	1851	829	0.961702	0.707107	
